Nama,Market Cap,Rasio P/E,Pendapatan,Vol.Rata-Rata (3bln),EPS,Beta,Dividen,Imbal Hasil,Rekomendasi
Abm Investama,11.23T,1.97,1.56B,2475702,0.132,-0.687,400,9.76%,
Ace Hardware,13.35T,18.42,7.09T,72740881,42.34,0.506,31.06,3.98%,
Ace Oldfields PT,65.93B,7.38,164.01B,1048994,7.18,-,1.6,3.14%,
Acset Indonusa,2.59T,-6.64,1.36T,39806605,-30.74,1.60,-,-%,
Adaro Energy,86.47T,2.55,8.04B,50796958,0.07,0.174,492.06,17.7%,
Adaro Minerals Indonesia Tbk PT,54.58T,12.66,936.09M,54151034,0.007,0.819,-,-%,
Adhi Commuter Properti Tbk PT,1.29T,12.97,495.15B,11119130,3.97,0.242,1.17,1.95%,
Adhi Karya Persero,4.05T,39.25,13.58T,27279381,12.28,1.68,-,-%,
Adi Sarana Armada,3.19T,55.21,5.09T,12780616,16.21,1.27,-,-%,
Adira Dinamika,10.70T,6.07,5.66T,152943,1.762.84,0.508,803,7.5%,
Aesler Gr,532.5B,26.666.67,2.80B,125063,-22.68,-0.392,-,-%,
Agro Yasa Lestari PT Tbk,53.77B,-17.13,6.67B,2909949,-4.09,-0.204,-,-%,
Agung Menjangan Mas Tbk PT,49.2B,36.95,9.90B,2040370,1.21,1.14,-,-%,
Agung Podomoro,3.38T,1.49,8.33T,37045173,100.22,1.28,-,-%,
Agung Semesta Sejahtera Tbk PT,100.70B,-34.60,3.07B,1652961,-0.289,-0.59,-,-%,
AirAsia Indonesia Tbk PT,1.53T,-2.00,5.68T,583414,-71.49,-0.041,-,-%,
Akasha Wira,6.12T,15.56,1.42T,137124,666.91,0.751,-,-%,
Akbar Indomakmur,50.16B,-23.22,21.84B,381721,-9.82,-,-,-%,
Akr Corporindo,28.72T,11.59,45.29T,42315699,125.59,0.551,100,6.85%,
Aksara Global Development Tbk PT,180.20B,-5.25,17.97B,19900,-3.43,-0.214,-,-%,
Alakasa Industrindo Tbk,289.37B,5.66,3.39T,588276,100.67,0.885,-,-%,
Alam Sutera Realty,3.44T,3.32,4.14T,20019540,52.75,1.09,-,-%,
Alfa Energi Investama,193.27B,-2.08,258.55B,22535844,-62.95,0.121,-,-%,
Alkindo Naratama,969.76B,31.67,1.40T,169944,23.68,0.253,1,0.14%,
Alumindo,801.36B,-6.69,59.50M,79035,-0.002,0.177,-,-%,
Aman Agrindo Tbk PT,483.8B,144.02,254.14B,9451805,2.28,1.07,-,-%,
Amman Mineral Internasional Tbk PT,467.45T,40.70,2.02B,66442425,0.01,-,-,-%,
Anabatic Technologies Tbk,819.64B,17.59,8.30T,31635,20.13,0.064,-,-%,
Ancora Indonesia,270.57B,1.82,174.19M,8278189,0.004,1.01,-,-%,
Andalan Perkasa Abadi Tbk PT,231.10B,192.66,15.28B,511560,0.109,-0.30,-,-%,
Andalan Sakti,313.63B,-76.59,10.87B,6872613,-4.83,-0.857,-,-%,
Andira Agro,467.50B,-20.66,256.26B,6557,-2.42,-0.322,-,-%,
Aneka Tambang Persero,44.10T,10.54,48.82T,37008535,174.14,1.47,"795,016",4.38%,
Anugerah Kagum Karya,322.47B,-8.45,5.92B,329757,-5.92,0.00,-,-%,
Anugerah Spareparts Sejahtera PT,-,-,-,41379114,-,-,-,-%,
Apexindo Pratama Duta,735.80B,-0.537,67.38M,18993602,-0.023,1.25,-,-%,
Archi Indonesia Tbk PT,8.54T,68.54,212.21M,10132937,0.00,0.745,-,-%,
Argha Karya Prima Ind,453.06B,22.85,2.78T,53156,32.38,0.986,16.5,2.23%,
Argo Pantes Tbk,238.25B,-3.64,82.39B,12086,-195.00,0.488,-,-%,
Arita Prima Indonesia,204.39B,15.33,304.67B,101168,12.39,-0.026,-,-%,
Arkadia Digital,81.25B,-9.80,48.67B,3989,-5.10,-,-,-%,
Arkha Jayanti,100B,21.65,230.75B,679267,2.31,-,-,-%,
Arkora Hydro Tbk PtT,2.08T,27.12,241.75B,8814800,23.18,-0.41,-,-%,
Armada Berjaya,99.45B,11.50,79.67B,3640283,11.11,-,6,4.8%,
Armidian Karyatama,450.31B,72.46,-,13713920,0.69,-,-,-%,
Arsy Buana Travelindo Tbk PT,343.58B,18.43,434.41B,6601592,8.19,-,-,-%,
Arthavest,690.11B,133.88,64.80B,2174,11.54,-0.673,100,6.47%,
Arwana Citramulia,5.24T,10.19,2.45T,4157537,70.69,0.554,55,7.48%,
Asahimas Flat Glass,2.40T,6.35,5.78T,152857,869.77,0.484,80,1.44%,
Ashmore Asset,2.15T,24.05,324.64B,20218,41.78,0.674,48.5,5%,
Asia Pacific Fibers,124.79B,-0.53,344.60M,118972,-0.006,0.425,-,-%,
Asia Pacific Investama Tbk PT,511.32B,-1.72,1.22T,36527,-38.47,-0.299,-,-%,
Asia Sejahtera Mina,165B,-37.86,570.34B,347,-4.38,-0.044,-,-%,
Asiaplast Industries,618.65B,10.48,507.58B,132627,43.32,0.151,-,-%,
Astra Agro Lestari,14.15T,11.01,20.25T,852044,667.57,0.99,404,5.48%,
Astra Graphia,1.29T,9.72,2.99T,1223986,98.30,0.274,29,3.09%,
Astra International,245.94T,8.72,320.08T,37985890,697.04,0.494,640,10.58%,
Astra Otoparts,13.88T,8.19,19.38T,10139063,351.81,0.598,110,3.85%,
Astrindo Nusantara Infrasruktur Tbk PT,7.33T,14.95,344.97M,169373116,0.00,0.469,-,-%,
Asuransi Bina Dana Arta,3.72T,60.45,774.40B,240,99.25,0.089,"815,069",1.23%,
Asuransi Bintang,210.77B,37.39,210.33B,32747,16.18,0.096,5,0.83%,
Asuransi Dayin Mitra,184.32B,9.14,195.37B,15460,105.02,0.001,66,6.91%,
Asuransi Jasa Tania,175.00B,142.05,114.03B,410656,0.88,0.204,-,-%,
Asuransi Jiwa Sinarmas,12.71T,38.32,3.49T,9525,158.13,0.184,177,2.93%,
Asuransi Jiwa Syariah,84.00B,64.62,66.29B,6736497,1.30,0.154,-,-%,
Asuransi Kresna Mitra,447.92B,-106.38,360.99B,39716,-0.47,-0.14,-,-%,
Asuransi Ramayana,502.07B,5.43,2.06T,1256,304.05,0.025,65,3.94%,
Asuransi Tugu Pratama,4.39T,2.96,3.31T,7140186,417.01,-0.058,"781,085",3.16%,
Ateliers Mecaniques D’Indonesie,136.08B,9.24,270.60B,1697278,13.64,0.399,-,-%,
Atlas Resources,1.11T,6.88,289.54M,2892567,0.003,-0.317,-,-%,
Austindo Nusantara Jaya,2.53T,-48.11,239.82M,3425959,-0.001,0.542,27.8,3.68%,
Autopedia Sukses Lestari Tbk PT,1.2T,176.90,609.33B,21740076,0.565,0.633,-,-%,
Avia Avian PT Tbk,34.38T,25.99,6.82T,8455890,23.08,0.247,21,3.78%,
Aviana Sinar Abadi PT Tbk,250B,46.45,276.91B,132919702,1.08,-,-,-%,
Bakrie & Brothers,1.10T,2.37,4.30T,35152474,21.14,-,-,-%,
Bakrie Sumatera,295.02B,2.24,3.99T,1464692,52.60,0.804,-,-%,
Bakrie Telecom,1.84T,-26.60,30.41B,9900,-1.88,-,-,-%,
Bakrieland,2.18T,-8.87,1.01T,100,-5.64,0.00,-,-%,
Bali Bintang Sejahtera,1.09T,120.65,319.16B,1368311,1.28,0.288,1,0.51%,
Bali Towerindo Sentra,3.50T,17.26,963.85B,363808,51.56,-0.011,32.34,3.59%,
Bangun Karya Perkasa Jaya PT Tbk,113.12B,-14.22,156.43B,13522352,-4.50,0.698,1.5,2.21%,
Bank Agris,3.21T,13.87,504.76B,5692543,6.13,0.916,-,-%,
Bank Amar Indonesia,4.01T,259.04,474.79B,6151524,1.13,0.831,-,-%,
Bank Artha Graha,1.44T,13.98,951.65B,4470648,5.08,0.637,-,-%,
Bank Artos Indonesia,26.74T,969.85,1.21T,14727127,1.99,1.39,-,-%,
Bank Bisnis,13.23T,115.89,197.23B,8963,26.84,0.175,-,-%,
Bank BRISyariah,72.19T,13.92,16.53T,21571376,112.41,1.18,"92,353",0.59%,
Bank Bukopin,16.72T,-2.48,-2.09T,77280917,-35.87,1.86,-,-%,
Bank Bumi Arta,2.66T,98.13,305.76B,1390583,8.00,0.045,4.25,0.75%,
Bank Capital Indonesia,2.63T,80.00,512.45B,7405516,1.65,-0.087,-,-%,
